"","Bin ID","Site","Sample Name","Site ID","Subplot","Layer","Date","IMG Genome ID","Bin Quality","Bin Lineage","GTDB-Tk Taxonomy Lineage","Domain","Phylum","Class","Order","Family","Genus","Bin Completeness","Bin Contamination","Total Number of Bases","5s rRNA","16s rRNA","23s rRNA","tRNA Genes","Gene Count","Scaffold Count","Assembly Type"
"11","3300060644_15","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium",56.18,5.83,3272984,0,1,0,20,3606,529,"Individual"
"12","3300060644_2","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidisoma; Acidisoma sp009765865","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidisoma",74.6,0.5,3609891,0,0,0,25,3729,401,"Individual"
"13","3300060644_25","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Pseudomonadota; Gammaproteobacteria","Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Bog-1198",57.93,3.45,2233801,0,0,0,14,2167,219,"Individual"
"14","3300060644_26","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium",88.06,2.26,5789977,1,0,0,42,6319,671,"Individual"
"15","3300060644_35","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella",97.51,0.58,3366152,0,0,0,46,3443,121,"Individual"
"16","3300060644_42","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria","Bacteria; Eremiobacterota; Eremiobacteria; Baltobacterales; Baltobacteraceae; Tumulicola","Bacteria","Eremiobacterota","Eremiobacteria","Baltobacterales","Baltobacteraceae","Tumulicola",91.48,1.39,2900940,1,1,0,40,3030,156,"Individual"
"17","3300060644_47","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria","Bacteria; Eremiobacterota; Eremiobacteria; Baltobacterales; Baltobacteraceae; Lustribacter","Bacteria","Eremiobacterota","Eremiobacteria","Baltobacterales","Baltobacteraceae","Lustribacter",83.64,0.46,4737011,1,0,1,34,5119,458,"Individual"
"18","3300060644_5","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 83","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; KBS-83","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","KBS-83",56.38,6.9,3141095,0,0,0,20,3089,368,"Individual"
"19","3300060644_52","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Pseudomonadota","Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Bog-1198",58.62,5.17,4153034,0,0,0,23,4390,620,"Individual"
"20","3300060644_6","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia","Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia",79.66,0.86,6374505,0,0,0,43,6260,340,"Individual"
"21","3300060644_7","Caribou Creek Watershed, Alaska, USA","BONA_009-O-20210707","BONA","009","O","20210707",3300060644,"MQ","Bacteria","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; JAFAMB01; JAFAMB01","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","JAFAMB01","JAFAMB01",72.87,3.18,4371866,0,0,0,28,4408,377,"Individual"
"22","3300060645_18","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria","Bacteria; Proteobacteria; Alphaproteobacteria; BOG-932; BOG-932; BOG-932","Bacteria","Proteobacteria","Alphaproteobacteria","BOG-932","BOG-932","BOG-932",96.94,4.37,6281685,0,1,1,56,6529,337,"Individual"
"23","3300060645_2","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae","Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Plantibacter","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Plantibacter",52.69,5.53,2146885,0,0,0,23,2318,422,"Individual"
"24","3300060645_23","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae","Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Leifsonia_B","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Leifsonia_B",99.49,1.52,4042696,3,1,0,49,3775,12,"Individual"
"25","3300060645_3","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidocella","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella",51.72,0,1578636,0,0,0,28,1678,127,"Individual"
"26","3300060645_33","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Granulicella_D","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","Granulicella_D",83.28,0,3727439,0,1,0,30,3068,135,"Individual"
"27","3300060645_37","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus","Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",81.03,0,5286753,3,1,3,48,5026,97,"Individual"
"28","3300060645_38","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Palsa-343","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","Palsa-343",94.02,0.91,4897047,0,0,0,37,4310,138,"Individual"
"29","3300060645_49","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"HQ","Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae","Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Lacisediminihabitans","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Lacisediminihabitans",98.86,0.93,3650100,1,2,1,47,3528,8,"Individual"
"30","3300060645_53","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",90.07,3.12,6246763,1,1,0,39,6382,383,"Individual"
"31","3300060645_54","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"HQ","Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium",95.71,1.89,6028930,1,1,1,49,6100,214,"Individual"
"32","3300060645_57","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia; Paraburkholderia phenazinium","Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia; Paraburkholderia phenazinium_C","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",68.1,3.45,6451084,2,0,0,36,6482,546,"Individual"
"33","3300060645_58","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; LMUY01","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","LMUY01",95.02,5.35,4964797,0,1,0,43,4813,215,"Individual"
"34","3300060645_61","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"HQ","Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium",97.12,1.87,6696428,1,1,1,55,7231,510,"Individual"
"35","3300060645_68","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia","Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Caballeronia",95.55,3.02,6346146,0,0,0,48,6004,74,"Individual"
"36","3300060645_73","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas rhizophila","Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",94.64,0.94,4223284,2,0,0,59,3882,85,"Individual"
"37","3300060645_78","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Terracidiphilus","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","Terracidiphilus",89.2,1.72,8199183,1,1,1,74,7761,448,"Individual"
"38","3300060645_82","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidocella","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidocella",89.8,0,2487983,0,0,0,32,2476,54,"Individual"
"39","3300060645_83","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",85.47,0.06,6100175,0,1,0,37,6517,377,"Individual"
"40","3300060645_84","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae","Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rhodopila","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodopila",94.28,0.5,6467384,1,0,0,51,6691,445,"Individual"
"41","3300060645_87","Caribou Creek Watershed, Alaska, USA","BONA_006-O-20210707","BONA","006","O","20210707",3300060645,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella; Granulicella mallensis","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; UBA5172","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","UBA5172",73.38,1.72,2997742,0,0,0,37,2678,155,"Individual"
"42","3300060646_13","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Myxococcota","Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae",NA,82.87,9.73,7536959,1,1,1,55,7478,973,"Individual"
"43","3300060646_16","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Actinomycetota; Actinomycetes","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; RAAP-2; Bog-756","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","RAAP-2","Bog-756",83.9,1.63,2920636,1,0,1,35,3142,372,"Individual"
"44","3300060646_17","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Pseudomonadota","Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Bog-1198",73.17,6.17,3408873,0,0,0,28,3608,501,"Individual"
"45","3300060646_19","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Palsa-1447","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Palsa-1447",71.07,0.68,2294490,1,1,1,15,2262,381,"Individual"
"46","3300060646_26","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Acidobacteriota; Terriglobia","Bacteria; Acidobacteriota; Acidobacteriae; Acidoferrales; UBA7541; Acidoferrum","Bacteria","Acidobacteriota","Acidobacteriae","Acidoferrales","UBA7541","Acidoferrum",57.93,0.86,4410025,1,0,0,42,4438,636,"Individual"
"47","3300060646_29","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; SbA1; Sulfotelmatobacter","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","SbA1","Sulfotelmatobacter",82.38,2.14,5116427,0,0,0,44,4811,288,"Individual"
"48","3300060646_3","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Actinomycetota; Actinomycetes","Bacteria; Actinobacteriota; Actinomycetia; Streptosporangiales; Streptosporangiaceae; Palsa-504","Bacteria","Actinobacteriota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Palsa-504",66.5,7.97,6063295,0,0,0,43,6643,979,"Individual"
"49","3300060646_6","Healy, Denali National Park, Alaska, USA","HEAL_048-M-20210622","HEAL","048","M","20210622",3300060646,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,85.2,9.23,6425597,1,1,1,38,7012,909,"Individual"
"50","3300060647_11","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"MQ","Bacteria; Actinomycetota","Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae",NA,52.57,9.91,2451795,1,1,0,41,2954,537,"Individual"
"51","3300060647_13","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"MQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; VAYN01","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","VAYN01",90.96,3.02,2696232,0,1,0,54,2791,94,"Individual"
"52","3300060647_18","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"HQ",NA,"Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; UBA10450; AV80","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450","AV80",97.97,4.05,4392762,1,2,2,50,3871,32,"Individual"
"53","3300060647_24","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"MQ","Bacteria","Bacteria; Chloroflexota; Limnocylindria; Limnocylindrales; CSP1-4; UBA5189","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","UBA5189",51.42,0.93,1983536,0,1,0,18,2117,262,"Individual"
"54","3300060647_3","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"MQ","Bacteria","Bacteria; Acidobacteriota; Thermoanaerobaculia; Gp7-AA8; Gp7-AA8; QHVT01","Bacteria","Acidobacteriota","Thermoanaerobaculia","Gp7-AA8","Gp7-AA8","QHVT01",100,3.49,6308342,1,0,0,61,5724,57,"Individual"
"55","3300060647_7","Yellowstone NP, Wyoming, USA","YELL_009-M-20210706","YELL","009","M","20210706",3300060647,"MQ","Bacteria","Bacteria; Myxococcota; Polyangia; Palsa-1104_A; Fen-1088","Bacteria","Myxococcota","Polyangia","Palsa-1104_A","Fen-1088",NA,91.61,7.58,6624588,0,0,0,44,6225,474,"Individual"
"56","3300060648_12","Yellowstone NP, Wyoming, USA","YELL_002-M-20210706","YELL","002","M","20210706",3300060648,"HQ",NA,"Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; UBA10450; AV80","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","UBA10450","AV80",99.32,2.7,4231496,1,2,2,46,3697,5,"Individual"
"57","3300060648_15","Yellowstone NP, Wyoming, USA","YELL_002-M-20210706","YELL","002","M","20210706",3300060648,"HQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales; Conexibacteraceae; Conexibacter; Conexibacter woesei","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Baekduia","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Baekduia",99.15,2.56,5521678,1,1,1,50,5473,52,"Individual"
"58","3300060648_2","Yellowstone NP, Wyoming, USA","YELL_002-M-20210706","YELL","002","M","20210706",3300060648,"MQ","Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Hyphomicrobiaceae; Methyloceanibacter","Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methyloligellaceae; Methyloceanibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloceanibacter",63.21,1.76,1490161,0,0,0,13,1740,264,"Individual"
"59","3300060648_4","Yellowstone NP, Wyoming, USA","YELL_002-M-20210706","YELL","002","M","20210706",3300060648,"MQ","Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; VAYN01","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","VAYN01",90.66,2.16,2592415,1,0,1,46,2732,145,"Individual"
"60","3300060648_6","Yellowstone NP, Wyoming, USA","YELL_002-M-20210706","YELL","002","M","20210706",3300060648,"MQ","Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales","Bacteria; Actinobacteriota; Actinomycetia; Propionibacteriales; Propionibacteriaceae","Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Propionibacteriaceae",NA,60.96,3.28,2711011,0,1,0,16,3141,524,"Individual"
